,,,"GGUN-FL Fluorometer #323  - Signals in mV ",,,,,,,,,,
,,,"------","-------------","---------","-------------","--",,,,,,
"#","Time","R","Tracer 1","Tracer 2","Tracer 3","Turbidity  ","Baseline","Battery V","T","Conductiv","temps","Débit  (m3/s)","Concentration Fluo (kg/m3)"
42,"22/04/23-20:52:06",0,9.14,1.39,2.17,16.27,13.93,13.04,6.68,0.112,23.8790833333334,0.206918708670758,0.00000000378350000000002
43,"22/04/23-21:07:06",0,9.18,1.39,2.16,16.24,13.89,13.04,6.68,0.105,23.8895000000001,0.213452609442424,0.00000000594549999999997
44,"22/04/23-21:22:06",0,9.21,1.39,2.16,16.24,13.89,13.03,6.68,0.104,23.8999166666667,0.222514069362017,0.00000000756700000000003
45,"22/04/23-21:37:06",0,9.12,1.37,2.18,16.27,13.91,13.03,6.68,0.106,23.9103333333334,0.227141713075346,0.00000000270249999999994
46,"22/04/23-21:52:06",0,9.12,1.39,2.17,16.19,13.94,13.03,6.68,0.107,23.9207500000001,0.231807343786635,0.00000000270249999999994
47,"22/04/23-22:07:05",0,9.16,1.41,2.15,16.27,13.91,13.03,6.68,0.105,23.9311666666667,0.238841103197824,0.00000000486449999999999
48,"22/04/23-22:22:05",0,9.13,1.35,2.15,16.26,13.93,13.03,6.68,0.111,23.9415833333334,0.241188188798646,0.00000000324300000000003
49,"22/04/23-22:37:05",0,9.05,1.36,2.15,16.2,13.89,13.02,6.68,0.109,23.9520000000001,0.243534112153337,-0.00000000108099999999998
50,"22/04/23-22:52:05",0,9.11,1.38,2.14,16.25,13.87,13.02,6.68,0.112,23.9624166666667,0.243534112153337,0.00000000216199999999995
51,"22/04/23-23:07:05",0,9.11,1.38,2.15,16.27,13.91,13.02,6.68,0.104,23.9728333333334,0.241188188798659,0.00000000216199999999995
52,"22/04/23-23:22:05",0,9.11,1.39,2.16,16.25,13.92,13.02,6.68,0.113,23.9832500000001,0.243534112153337,0.00000000216199999999995
53,"22/04/23-23:37:05",0,9.03,1.34,2.13,16.16,13.95,13.02,6.68,0.107,23.9936666666667,0.243534112153333,-0.00000000216200000000005
54,"22/04/23-23:52:05",0,9.1,1.39,2.15,16.22,13.91,13.01,6.68,0.106,24.0040833333334,0.243534112153337,0.00000000162149999999997
55,"22/04/24-00:07:05",0,9.08,1.36,2.14,16.18,13.93,13.01,6.68,0.106,24.0145000000001,0.241188188798659,0.000000000540499999999989
56,"22/04/24-00:22:05",0,9.07,1.38,2.15,16.21,13.92,13.01,6.68,0.113,24.0249166666667,0.243534112153337,0
57,"22/04/24-00:37:05",0,9.06,1.38,2.16,16.2,13.95,13.01,6.68,0.108,24.0353333333334,0.245877668192396,-0.000000000540499999999989
58,"22/04/24-00:52:05",0,9.09,1.36,2.14,16.18,13.91,13.01,6.68,0.108,24.0457500000001,0.245877668192385,0.00000000108099999999998
59,"22/04/24-01:07:04",0,9.02,1.4,2.15,16.16,13.9,13.01,6.68,0.107,24.0561666666667,0.245877668192385,-0.00000000270250000000004
60,"22/04/24-01:22:04",0,9.06,1.37,2.16,16.2,13.93,13.01,6.68,0.113,24.0665833333334,0.248217813191264,-0.000000000540499999999989
61,"22/04/24-01:37:04",0,9.11,1.36,2.12,16.16,13.89,13.01,6.68,0.107,24.0770000000001,0.248217813191264,0.00000000216199999999995
62,"22/04/24-01:52:04",0,9.12,1.39,2.14,16.18,13.88,13.01,6.68,0.105,24.0874166666667,0.250553664770202,0.00000000270249999999994
63,"22/04/24-02:07:04",0,9.1,1.4,2.16,16.2,13.9,13.01,6.68,0.105,24.0978333333334,0.248217813191264,0.00000000162149999999997
64,"22/04/24-02:22:04",0,9.04,1.38,2.15,16.23,13.92,13,6.68,0.106,24.1082500000001,0.241188188798646,-0.00000000162150000000006
65,"22/04/24-02:37:04",0,9.06,1.36,2.15,16.19,13.92,13,6.68,0.104,24.1186666666667,0.236494221765239,-0.000000000540499999999989
66,"22/04/24-02:52:04",0,9.07,1.36,2.13,16.19,13.92,13,6.68,0.112,24.1290833333334,0.234149072260126,0
67,"22/04/24-03:07:04",0,9.04,1.37,2.15,16.22,13.95,13,6.68,0.106,24.1395000000001,0.22947088679372,-0.00000000162150000000006
68,"22/04/24-03:22:04",0,9.1,1.38,2.15,16.24,13.91,13,6.68,0.106,24.1499166666667,0.222514069362023,0.00000000162149999999997
69,"22/04/24-03:37:04",0,9.06,1.37,2.12,16.16,13.94,13,6.68,0.103,24.1603333333334,0.215686800528758,-0.000000000540499999999989
70,"22/04/24-03:52:04",0,9.02,1.37,2.14,16.15,13.91,13,6.68,0.105,24.1707500000001,0.21345260944245,-0.00000000270250000000004
71,"22/04/24-04:07:03",0,9.06,1.36,2.14,16.17,13.91,13,6.68,0.107,24.1811666666668,0.209065180288044,-0.000000000540499999999989
72,"22/04/24-04:22:03",0,9.08,1.39,2.13,16.17,13.9,13,6.68,0.114,24.1915833333334,0.206918708670758,0.000000000540499999999989
73,"22/04/24-04:37:03",0,9.06,1.36,2.14,16.2,13.92,13,6.68,0.108,24.2020000000001,0.200712252605594,-0.000000000540499999999989
74,"22/04/24-04:52:03",0,9.09,1.39,2.12,16.12,13.9,13,6.68,0.108,24.2124166666668,0.198734246621041,0.00000000108099999999998
75,"22/04/24-05:07:03",0,8.94,1.39,2.11,16.16,14.01,13,6.68,0.105,24.2228333333334,0.198734246621041,-0.00000000702650000000004
76,"22/04/24-05:22:03",0,9.05,1.39,2.14,16.13,13.92,13,6.68,0.113,24.2332500000001,0.198734246621041,-0.00000000108099999999998
77,"22/04/24-05:37:03",0,9.01,1.37,2.13,16.13,13.94,13,6.68,0.106,24.2436666666668,0.194939835423792,-0.00000000324300000000003
78,"22/04/24-05:52:03",0,9.04,1.36,2.15,16.22,13.91,13,6.68,0.105,24.2540833333334,0.196808630238068,-0.00000000162150000000006
79,"22/04/24-06:07:03",0,9.05,1.36,2.13,16.14,13.9,13,6.68,0.105,24.2645000000001,0.194939835423792,-0.00000000108099999999998
80,"22/04/24-06:22:03",0,9.06,1.37,2.17,16.24,13.92,13,6.68,0.106,24.2749166666668,0.196808630238068,-0.000000000540499999999989
81,"22/04/24-06:37:03",0,9.03,1.39,2.13,16.14,13.92,13,6.68,0.108,24.2853333333334,0.194939835423792,-0.00000000216200000000005
82,"22/04/24-06:52:03",0,9.01,1.39,2.12,16.14,13.93,13,6.68,0.104,24.2957500000001,0.194939835423792,-0.00000000324300000000003
