,"Name sensor",,"Time(s)","Date","Pressure (mbar)","T (°K)"
1,"SU-17255",8871533,0,22/04/2022 20:10:59,973,"296.97"
1,"SU-17255",8871533,900,22/04/2022 20:25:59,973,"297.29"
1,"SU-17255",8871533,1800,22/04/2022 20:40:59,974,"294.44"
1,"SU-17255",8871533,2700,22/04/2022 20:55:59,974,"293.47"
1,"SU-17255",8871533,3600,22/04/2022 21:10:59,974,"293.15"
1,"SU-17255",8871533,4500,22/04/2022 21:25:59,973,"293.7"
1,"SU-17255",8871533,5400,22/04/2022 21:40:59,973,"293.9"
1,"SU-17255",8871533,6300,22/04/2022 21:55:59,974,"293.17"
1,"SU-17255",8871533,7200,22/04/2022 22:10:59,974,"293.26"
1,"SU-17255",8871533,8100,22/04/2022 22:25:59,974,"293.35"
1,"SU-17255",8871533,9000,22/04/2022 22:40:59,974,"293.44"
1,"SU-17255",8871533,9900,22/04/2022 22:55:59,974,"293.51"
1,"SU-17255",8871533,10800,22/04/2022 23:10:59,974,"293.58"
1,"SU-17255",8871533,11700,22/04/2022 23:25:59,974,"293.64"
1,"SU-17255",8871533,12600,22/04/2022 23:40:59,974,"293.71"
1,"SU-17255",8871533,13500,22/04/2022 23:55:59,973,"293.77"
1,"SU-17255",8871533,14400,23/04/2022 00:10:59,974,"293.80"
1,"SU-17255",8871533,15300,23/04/2022 00:25:59,973,"293.83"
1,"SU-17255",8871533,16200,23/04/2022 00:40:59,973,"293.85"
1,"SU-17255",8871533,17100,23/04/2022 00:55:59,974,"293.86"
1,"SU-17255",8871533,18000,23/04/2022 01:10:59,973,"293.86"
1,"SU-17255",8871533,18900,23/04/2022 01:25:59,973,"293.86"
1,"SU-17255",8871533,19800,23/04/2022 01:40:59,973,"293.84"
1,"SU-17255",8871533,20700,23/04/2022 01:55:59,973,"293.83"
1,"SU-17255",8871533,21600,23/04/2022 02:10:59,974,"293.83"
1,"SU-17255",8871533,22500,23/04/2022 02:25:59,974,"293.81"
1,"SU-17255",8871533,23400,23/04/2022 02:40:59,974,"293.80"
1,"SU-17255",8871533,24300,23/04/2022 02:55:59,973,"293.77"
1,"SU-17255",8871533,25200,23/04/2022 03:10:59,975,"293.75"
1,"SU-17255",8871533,26100,23/04/2022 03:25:59,974,"293.75"
1,"SU-17255",8871533,27000,23/04/2022 03:40:59,974,"293.72"
1,"SU-17255",8871533,27900,23/04/2022 03:55:59,972,"293.70"
1,"SU-17255",8871533,28800,23/04/2022 04:10:59,973,"293.68"
1,"SU-17255",8871533,29700,23/04/2022 04:25:59,973,"293.67"
1,"SU-17255",8871533,30600,23/04/2022 04:40:59,973,"293.65"
1,"SU-17255",8871533,31500,23/04/2022 04:55:59,973,"293.63"
1,"SU-17255",8871533,32400,23/04/2022 05:10:59,973,"293.61"
1,"SU-17255",8871533,33300,23/04/2022 05:25:59,972,"293.58"
1,"SU-17255",8871533,34200,23/04/2022 05:40:59,972,"293.58"
1,"SU-17255",8871533,35100,23/04/2022 05:55:59,972,"293.56"
1,"SU-17255",8871533,36000,23/04/2022 06:10:59,972,"293.55"
1,"SU-17255",8871533,36900,23/04/2022 06:25:59,972,"293.53"
1,"SU-17255",8871533,37800,23/04/2022 06:40:59,972,"293.52"
1,"SU-17255",8871533,38700,23/04/2022 06:55:59,972,"293.50"
1,"SU-17255",8871533,39600,23/04/2022 07:10:59,973,"293.15"
1,"SU-17255",8871533,40500,23/04/2022 07:25:59,949,"292.56"
1,"SU-17255",8871533,41400,23/04/2022 07:40:59,867,"291.94"
1,"SU-17255",8871533,42300,23/04/2022 07:55:59,907,"291.42"
1,"SU-17255",8871533,43200,23/04/2022 08:10:59,909,"290.90"
1,"SU-17255",8871533,44100,23/04/2022 08:25:59,908,"290.24"
1,"SU-17255",8871533,45000,23/04/2022 08:40:59,908,"289.70"
1,"SU-17255",8871533,45900,23/04/2022 08:55:59,909,"289.12"
1,"SU-17255",8871533,46800,23/04/2022 09:10:59,909,"288.64"
1,"SU-17255",8871533,47700,23/04/2022 09:25:59,909,"289.78"
1,"SU-17255",8871533,48600,23/04/2022 09:40:59,933,"280.44"
1,"SU-17255",8871533,49500,23/04/2022 09:55:59,934,"280.8"
1,"SU-17255",8871533,50400,23/04/2022 10:10:59,934,"280.7"
1,"SU-17255",8871533,51300,23/04/2022 10:25:59,933,"280.8"
1,"SU-17255",8871533,52200,23/04/2022 10:40:59,935,"280.9"
1,"SU-17255",8871533,53100,23/04/2022 10:55:59,933,"280.16"
